points,count,proportion
0,3317,608
1,3531,647
2,2119,388
3,1008,184
4,4514,827
5,3888,713
6,502,92
7,3242,594
8,1465,268
9,2067,379
10,6980,1280
11,3742,686
12,5843,1071
13,4167,764
14,2155,395
15,1641,300
16,1104,202
17,2247,412
18,443,81
19,548,100
