points,count,proportion
0,1778,517
1,2107,612
2,3060,890
3,1058,307
4,2577,749
5,2152,626
6,787,228
7,2125,618
8,1298,377
9,1361,395
10,2260,657
11,2200,640
12,2244,652
13,2789,811
14,1441,419
15,1596,464
16,1047,304
17,1392,404
18,479,139
19,623,181
