points,count,proportion
0,5,99
1,28,555
2,108,2142
3,7,138
4,62,1230
5,22,436
6,3,59
7,36,714
8,7,138
9,1,19
10,17,337
11,36,714
12,23,456
13,83,1646
14,28,555
15,13,257
16,10,198
17,5,99
18,3,59
19,7,138
