points,count,proportion
0,2,51
1,54,1381
2,14,358
4,50,1278
5,26,664
7,65,1662
10,9,230
11,57,1457
12,21,537
13,66,1687
14,20,511
16,2,51
17,1,25
18,3,76
19,1,25
