points,count,proportion
0,853,406
1,1988,946
2,756,359
3,402,191
4,1232,586
5,1557,741
6,406,193
7,1580,752
8,501,238
9,863,410
10,2170,1033
11,1408,670
12,1977,941
13,1134,539
14,1072,510
15,1311,624
16,488,232
17,718,341
18,309,147
19,279,132
