points,count,proportion
0,2201,459
1,1703,355
2,2246,468
3,1115,232
4,2904,606
5,1716,358
6,2512,524
7,1667,347
8,1417,295
9,5012,1045
10,2075,433
11,2117,441
12,1961,409
13,2618,546
14,1386,289
15,9995,2085
16,1130,235
17,2449,511
18,721,150
19,975,203
