points,count,proportion
0,10834,920
1,6197,526
2,6366,541
3,2951,250
4,6582,559
5,7887,670
6,2042,173
7,5036,428
8,4596,390
9,5793,492
10,14367,1221
11,5499,467
12,11012,935
13,6814,579
14,4352,369
15,5516,468
16,3148,267
17,7145,607
18,487,41
19,1026,87
