points,count,proportion
0,680,553
1,1185,964
2,715,582
3,373,303
4,592,482
5,1128,918
6,294,239
7,743,604
8,445,362
9,369,300
10,812,661
11,636,517
12,827,673
13,583,474
14,905,736
15,328,267
16,504,410
17,450,366
18,372,302
19,341,277
