points,count,proportion
0,3710,769
1,2741,568
2,2194,455
3,1401,290
4,3463,718
5,3027,627
6,1109,230
7,2574,533
8,1742,361
9,1715,355
10,5818,1206
11,2718,563
12,3734,774
13,3320,688
14,2043,423
15,1645,341
16,1510,313
17,2274,471
18,634,131
19,837,173
