points,count,proportion
0,13,136
1,71,747
2,16,168
4,224,2357
5,30,315
6,2,21
7,62,652
8,3,31
9,21,221
10,66,694
11,98,1031
12,33,347
13,248,2610
14,21,221
15,23,242
16,4,42
17,14,147
19,1,10
