points,count,proportion
0,272,362
1,776,1033
2,349,464
3,71,94
4,278,370
5,730,972
6,22,29
7,440,586
8,94,125
9,294,391
10,809,1077
11,295,393
12,676,900
13,402,535
14,811,1080
15,443,590
16,307,409
17,265,353
18,125,166
19,47,62
