points,count,proportion
0,394,449
1,543,619
2,912,1041
3,232,264
4,706,805
5,567,647
6,75,85
7,498,568
8,189,215
9,171,195
10,927,1058
11,525,599
12,754,860
13,899,1026
14,391,446
15,181,206
16,263,300
17,213,243
18,175,199
19,145,165
