points,count,proportion
0,131,706
1,66,356
2,5,26
3,41,221
4,20,107
5,85,458
6,159,858
7,45,242
8,47,253
9,198,1068
10,148,798
11,32,172
12,95,512
13,14,75
14,49,264
15,532,2871
16,32,172
17,130,701
18,1,5
19,23,124
